rel,ext,status,oldBytes,newBytes,oldWidth,oldHeight,newWidth,newHeight,savingBytes,savingPct,note
反向大脑UI图/04游戏进行页面/暂停/10暂停页面.png,.png,kept-original-not-smaller,686076,686076,1024,1536,1024,1536,0,0.00,candidate 686076 bytes
反向大脑UI图/04游戏进行页面/背景/04游戏进行页.png,.png,kept-original-not-smaller,402800,402800,864,1536,864,1536,0,0.00,candidate 402800 bytes
反向大脑UI图/04游戏进行页面/顶部信息/04-05最高分.png,.png,kept-original-not-smaller,1330548,1330548,1024,1024,1024,1024,0,0.00,candidate 1330548 bytes
textures/effects/glow-particle-dot.png,.png,kept-original-not-smaller,544,544,128,128,128,128,0,0.00,candidate 544 bytes
resources/textures/achievements/achievement-bg.png,.png,kept-original-not-smaller,6851,6851,750,1334,750,1334,0,0.00,candidate 6851 bytes
resources/textures/achievements/back-arrow-pink.png,.png,kept-original-not-smaller,26604,26604,160,121,160,121,0,0.00,candidate 26604 bytes
resources/textures/achievements/ChatGPT Image 2026年5月2日 09_46_07.png,.png,kept-original-not-smaller,2002910,2002910,1536,1024,1536,1024,0,0.00,candidate 2002910 bytes
resources/textures/achievements/face-orange-up.png,.png,kept-original-not-smaller,699762,699762,1254,1254,1254,1254,0,0.00,candidate 699762 bytes
resources/textures/achievements/face-pink-dizzy.png,.png,kept-original-not-smaller,753077,753077,1254,1254,1254,1254,0,0.00,candidate 753077 bytes
resources/textures/achievements/face-pink-wink.png,.png,kept-original-not-smaller,1027724,1027724,1254,1254,1254,1254,0,0.00,candidate 1027724 bytes
resources/textures/achievements/face-purple-wink.png,.png,kept-original-not-smaller,643642,643642,1254,1254,1254,1254,0,0.00,candidate 643642 bytes
resources/textures/achievements/face-teal-right.png,.png,kept-original-not-smaller,729739,729739,1254,1254,1254,1254,0,0.00,candidate 729739 bytes
resources/textures/achievements/face-yellow-cool.png,.png,kept-original-not-smaller,1022536,1022536,1254,1254,1254,1254,0,0.00,candidate 1022536 bytes
resources/textures/achievements/mascot-header-pink.png,.png,kept-original-not-smaller,145737,145737,367,295,367,295,0,0.00,candidate 145737 bytes
resources/textures/achievements/mascot-header-purple.png,.png,kept-original-not-smaller,142830,142830,358,295,358,295,0,0.00,candidate 142830 bytes
resources/textures/achievements/panel-back.png,.png,kept-original-not-smaller,2877,2877,210,64,210,64,0,0.00,candidate 3198 bytes
resources/textures/achievements/panel-progress.png,.png,kept-original-not-smaller,4173,4173,675,104,675,104,0,0.00,candidate 4477 bytes
resources/textures/achievements/panel-row.png,.png,kept-original-not-smaller,3542,3542,675,106,675,106,0,0.00,candidate 3769 bytes
resources/textures/achievements/panel-tabs.png,.png,kept-original-not-smaller,3683,3683,675,82,675,82,0,0.00,candidate 3895 bytes
resources/textures/achievements/progress-fill.png,.png,kept-original-not-smaller,261,261,386,28,386,28,0,0.00,candidate 261 bytes
resources/textures/achievements/progress-track.png,.png,kept-original-not-smaller,263,263,386,28,386,28,0,0.00,candidate 263 bytes
resources/textures/achievements/reward-coin.png,.png,kept-original-not-smaller,567534,567534,1254,1254,1254,1254,0,0.00,candidate 567534 bytes
resources/textures/achievements/reward-gem.png,.png,kept-original-not-smaller,337373,337373,1254,1254,1254,1254,0,0.00,candidate 337373 bytes
resources/textures/achievements/row-progress-fill.png,.png,kept-original-not-smaller,174,174,245,14,245,14,0,0.00,candidate 174 bytes
resources/textures/achievements/row-progress-track.png,.png,kept-original-not-smaller,176,176,245,14,245,14,0,0.00,candidate 176 bytes
resources/textures/achievements/status-check.png,.png,kept-original-not-smaller,790596,790596,1254,1254,1254,1254,0,0.00,candidate 790596 bytes
resources/textures/achievements/status-lock.png,.png,kept-original-not-smaller,394063,394063,1254,1254,1254,1254,0,0.00,candidate 394063 bytes
resources/textures/achievements/tab-active.png,.png,kept-original-not-smaller,2024,2024,112,54,112,54,0,0.00,candidate 2268 bytes
resources/textures/achievements/trophy-purple.png,.png,kept-original-not-smaller,808977,808977,1254,1254,1254,1254,0,0.00,candidate 808977 bytes
